Cylinder_1,Cylinder_2,Cylinder_3,Cylinder_4,Cylinder_5,Cylinder_6,Cylinder_7,Cylinder_8,Cylinder_9,Cylinder_10,Cylinder_11,Cylinder_12,Cylinder_13,Cylinder_14,Cylinder_15,Cylinder_16,Cylinder_17,Cylinder_18,Cylinder_19,Cylinder_20,Cylinder_21,Cylinder_22,Cylinder_23,Cylinder_24,Cylinder_25,Cylinder_26,Cylinder_27,Cylinder_28,Cylinder_29,Cylinder_30,Cylinder_31,Cylinder_32,Cylinder_33,Cylinder_34,Cylinder_35,Cylinder_36,Cylinder_37,Cylinder_38,Cylinder_39,Cylinder_40,Cylinder_41,Cylinder_42,Cylinder_43,Cylinder_44,Cylinder_45,Cylinder_46,Cylinder_47,Cylinder_48,Cylinder_49,Cylinder_50,Cone_1,Cone_2,Cone_3,Cone_4,Cone_5,Cone_6,Cone_7,Cone_8,Cone_9,Cone_10,Cone_11,Cone_12,Cone_13,Cone_14,Cone_15,Cone_16,Cone_17,Cone_18,Cone_19,Cone_20,Cone_21,Cone_22,Cone_23,Cone_24,Cone_25,Cone_26,Cone_27,Cone_28,Cone_29,Cone_30,Cone_31,Cone_32,Cone_33,Cone_34,Cone_35,Cone_36,Cone_37,Cone_38,Cone_39,Cone_40,Cone_41,Cone_42,Cone_43,Cone_44,Cone_45,Cone_46,Cone_47,Cone_48,Cone_49,Cone_50
15.0591424877135,15.0591424877135,18.0694424443533,15.0591424877135,15.0591424877135,5.47449592047315,5.47449592047315,8.48479587711296,5.47449592047315,5.47449592047315,30.653647064601,30.653647064601,33.6639470212409,30.653647064601,30.653647064601,15.8201656189884,15.8201656189884,18.8304655756282,15.8201656189884,15.8201656189884,13.7082144026838,13.7082144026838,16.7185143593236,13.7082144026838,13.7082144026838,9.71282701637091,9.71282701637091,12.7231269730107,9.71282701637091,9.71282701637091,6.6065459840018,6.6065459840018,9.61684594064161,6.6065459840018,6.6065459840018,27.1307175427131,27.1307175427131,30.1410174993529,27.1307175427131,27.1307175427131,8.56646868010768,8.56646868010768,11.5767686367475,8.56646868010768,8.56646868010768,7.53984020310082,7.53984020310082,10.5501401597406,7.53984020310082,7.53984020310082,11.9587211575764,11.2653599899633,10.0032555656373,11.3642286608659,10.7482996952719,8.21085903962387,7.02996210043841,6.39184715447254,7.77398079953139,6.83633229330485,11.9587211575764,11.2653599899633,10.0032555656373,11.3642286608659,10.7482996952719,9.38445114649073,8.30006297909694,7.54739480776959,8.92878619666988,8.04022089980856,-5.87549550923973,-4.46020048465829,-10.9739708864903,-10.8815795947498,-5.83048022514373,6.51889519521302,5.28177533525195,4.68183885649194,6.05369031104289,5.13425515517071,0.778564246278279,0.0852030786650746,-1.64354157701234,-0.461697873031995,-0.310730140717396,10.9470919637854,10.0686936770841,9.05064675312229,10.4224982076732,9.67276045770166,9.99411919598862,8.97919056185731,8.13856511675357,9.51733462110838,8.67310146459369,-3.80097983891307,-3.2120545204337,-7.67851584686952,-7.03095558264658,-4.21422438145805
13.7082144026838,13.7082144026838,16.7185143593236,13.7082144026838,13.7082144026838,5.47449592047315,5.47449592047315,8.48479587711296,5.47449592047315,5.47449592047315,27.1307175427131,27.1307175427131,30.1410174993529,27.1307175427131,27.1307175427131,15.0591424877135,15.0591424877135,18.0694424443533,15.0591424877135,15.0591424877135,13.1021899229467,13.1021899229467,16.1124898795865,13.1021899229467,13.1021899229467,9.31537734704017,9.31537734704017,12.32567730368,9.31537734704017,9.31537734704017,6.6065459840018,6.6065459840018,9.61684594064161,6.6065459840018,6.6065459840018,30.653647064601,30.653647064601,33.6639470212409,30.653647064601,30.653647064601,8.21243939220318,8.21243939220318,11.222739348843,8.21243939220318,8.21243939220318,7.53984020310082,7.53984020310082,10.5501401597406,7.53984020310082,7.53984020310082,11.9587211575764,11.2653599899633,10.0032555656373,11.3642286608659,10.7482996952719,8.49954209036281,7.33794437197469,6.67829887905714,8.06080252123735,7.13071517773591,12.311807701375,11.6935459350538,10.331995572887,11.688354042238,11.1273203174101,9.38445114649073,8.30006297909694,7.54739480776959,8.92878619666988,8.04022089980856,-5.12078248942424,-4.02341712944667,-9.71545691926161,-9.38016783696116,-5.25429799295375,6.79790118324433,5.56340320782874,4.96766375108973,6.34223623342348,5.41214888992209,1.13502369153753,0.373725719813194,-1.2198259818673,-0.0159463220620069,0.0107872597704378,10.9470919637854,10.0686936770841,9.05064675312229,10.4224982076732,9.67276045770166,10.3061679800696,9.33210629621874,8.4388151417117,9.81568870374696,8.99902783397783,-3.80097983891307,-3.2120545204337,-7.67851584686952,-7.03095558264658,-4.21422438145805
13.1021899229467,13.1021899229467,16.1124898795865,13.1021899229467,13.1021899229467,5.47449592047315,5.47449592047315,8.48479587711296,5.47449592047315,5.47449592047315,24.6303942822129,24.6303942822129,27.6406942388527,24.6303942822129,24.6303942822129,14.3581554207153,14.3581554207153,17.3684553773551,14.3581554207153,14.3581554207153,12.5343316218327,12.5343316218327,15.5446315784725,12.5343316218327,12.5343316218327,9.31537734704017,9.31537734704017,12.32567730368,9.31537734704017,9.31537734704017,6.31268743295527,6.31268743295527,9.32298738959508,6.31268743295527,6.31268743295527,36.6749088829416,36.6749088829416,39.6852088395815,36.6749088829416,36.6749088829416,7.87055029693647,7.87055029693647,10.8808502535763,7.87055029693647,7.87055029693647,7.21944475875228,7.21944475875228,10.2297447153921,7.21944475875228,7.21944475875228,11.9587211575764,11.2653599899633,10.0032555656373,11.3642286608659,10.7482996952719,8.79111073980374,7.65192405641943,6.96613339067272,8.34863703285288,7.42920187698076,12.311807701375,11.6935459350538,10.331995572887,11.688354042238,11.1273203174101,9.68703118688012,8.63542186023511,7.84155398668412,9.22182630270999,8.35367929952042,-5.12078248942424,-4.02341712944667,-9.71545691926161,-9.38016783696116,-5.25429799295375,6.79790118324433,5.56340320782874,4.96766375108973,6.34223623342348,5.41214888992209,1.48072162094695,0.657945106645797,-0.813685144172154,0.40984371573461,0.324866644404893,11.277018560296,10.4542420459948,9.36307794192635,10.7317705672422,10.0218723390195,10.3061679800696,9.33210629621874,8.4388151417117,9.81568870374696,8.99902783397783,-3.21556502950659,-2.83254775359484,-6.82911506363729,-6.07548022012389,-3.74009700783148
12.5343316218327,12.5343316218327,15.5446315784725,12.5343316218327,12.5343316218327,5.47449592047315,5.47449592047315,8.48479587711296,5.47449592047315,5.47449592047315,22.6901988468791,22.6901988468791,25.7004988035189,22.6901988468791,22.6901988468791,13.7082144026838,13.7082144026838,16.7185143593236,13.7082144026838,13.7082144026838,11.9999331102179,11.9999331102179,15.0102330668577,11.9999331102179,11.9999331102179,8.93371237989453,8.93371237989453,11.9440123365343,8.93371237989453,8.93371237989453,6.02641548431916,6.02641548431916,9.03671544095897,6.02641548431916,6.02641548431916,36.6749088829416,36.6749088829416,39.6852088395815,36.6749088829416,36.6749088829416,7.53984020310082,7.53984020310082,10.5501401597406,7.53984020310082,7.53984020310082,6.90858298354459,6.90858298354459,9.9188829401844,6.90858298354459,6.90858298354459,11.9587211575764,11.2653599899633,10.0032555656373,11.3642286608659,10.7482996952719,8.79111073980374,7.65192405641943,6.96613339067272,8.34863703285288,7.42920187698076,12.311807701375,11.6935459350538,10.331995572887,11.688354042238,11.1273203174101,9.68703118688012,8.63542186023511,7.84155398668412,9.22182630270999,8.35367929952042,-4.43309173423472,-3.60825505571671,-8.63103577773484,-8.1184511415513,-4.7174243099455,7.077627615685,5.84838972329299,5.25265026655398,6.6295238285893,5.69187532236276,1.81683740585754,0.938439119156214,-0.423111243010624,0.818006085947616,0.632350021892592,11.277018560296,10.4542420459948,9.36307794192635,10.7317705672422,10.0218723390195,10.6236560929921,9.6949771914023,8.74270386752892,10.1172763498627,9.33203873135955,-2.66981657440107,-2.4677845327455,-6.06232454354335,-5.22323451382977,-3.29123615234135
11.9999331102179,11.9999331102179,15.0102330668577,11.9999331102179,11.9999331102179,5.20787949326581,5.20787949326581,8.21817944990562,5.20787949326581,5.20787949326581,21.1041289304686,21.1041289304686,24.1144288871084,21.1041289304686,21.1041289304686,13.1021899229467,13.1021899229467,16.1124898795865,13.1021899229467,13.1021899229467,11.4950927270358,11.4950927270358,14.5053926836756,11.4950927270358,11.4950927270358,8.56646868010768,8.56646868010768,11.5767686367475,8.56646868010768,8.56646868010768,5.74718586278152,5.74718586278152,8.75748581942133,5.74718586278152,5.74718586278152,30.653647064601,30.653647064601,33.6639470212409,30.653647064601,30.653647064601,7.21944475875228,7.21944475875228,10.2297447153921,7.21944475875228,7.21944475875228,6.6065459840018,6.6065459840018,9.61684594064161,6.6065459840018,6.6065459840018,11.9587211575764,11.2653599899633,10.0032555656373,11.3642286608659,10.7482996952719,9.08594833126745,7.97243799230921,7.2557108991129,8.63784454417174,7.73222040516396,12.311807701375,11.6935459350538,10.331995572887,11.688354042238,11.1273203174101,9.99411919598862,8.97919056185731,8.13856511675357,9.51733462110838,8.67310146459369,-4.43309173423472,-3.60825505571671,-8.63103577773484,-8.1184511415513,-4.7174243099455,7.35843073823867,6.13712400569301,5.537187526933,6.9159570312878,5.9737906981963,2.144422588932,1.21574368734218,-0.0463607369837291,1.21055179452634,0.934001126627493,11.277018560296,10.4542420459948,9.36307794192635,10.7317705672422,10.0218723390195,10.6236560929921,9.6949771914023,8.74270386752892,10.1172763498627,9.33203873135955,-2.66981657440107,-2.4677845327455,-6.06232454354335,-5.22323451382977,-3.29123615234135
11.4950927270358,11.4950927270358,14.5053926836756,11.4950927270358,11.4950927270358,5.20787949326581,5.20787949326581,8.21817944990562,5.20787949326581,5.20787949326581,19.7622944257756,19.7622944257756,22.7725943824154,19.7622944257756,19.7622944257756,12.5343316218327,12.5343316218327,15.5446315784725,12.5343316218327,12.5343316218327,11.0165390540846,11.0165390540846,14.0268390107244,11.0165390540846,11.0165390540846,8.21243939220318,8.21243939220318,11.222739348843,8.21243939220318,8.21243939220318,5.74718586278152,5.74718586278152,8.75748581942133,5.74718586278152,5.74718586278152,27.1307175427131,27.1307175427131,30.1410174993529,27.1307175427131,27.1307175427131,6.90858298354459,6.90858298354459,9.9188829401844,6.90858298354459,6.90858298354459,6.31268743295527,6.31268743295527,9.32298738959508,6.31268743295527,6.31268743295527,11.9587211575764,11.2653599899633,10.0032555656373,11.3642286608659,10.7482996952719,9.38445114649073,8.30006297909694,7.54739480776959,8.92878619666988,8.04022089980856,12.674021329159,12.1388500865116,10.6672198356937,12.018417053303,11.518166352617,9.99411919598862,8.97919056185731,8.13856511675357,9.51733462110838,8.67310146459369,-3.80097983891307,-3.2120545204337,-7.67851584686952,-7.03095558264658,-4.21422438145805,7.35843073823867,6.13712400569301,5.537187526933,6.9159570312878,5.9737906981963,2.144422588932,1.21574368734218,-0.0463607369837291,1.21055179452634,0.934001126627493,11.6140187017467,10.8527207300223,9.68045359123397,11.0455283941463,10.3801149386074,10.9470919637854,10.0686936770841,9.05064675312229,10.4224982076732,9.67276045770166,-2.15807415196764,-2.11607437522133,-5.36301687702991,-4.45370185450912,-2.86445716728747
